Key,Text,split
1,Epoloi ebirinyanyi ojok apakio nu emwanar akwap.,train
2,Akiro nu alupok nes erai ationis kanejaas akoriok,train
3,Ekot aisinyikokit akoriok akoru emwanyi loepol,train
4,Uganda nes ejai akiro nu akoru.,train
5,Icie ikorion etwakete naarai emamei akolong.,train
6,Aibo idumakini oni ikorion lu ipikoritos akolong ka adekasinei.,train
7,Ekotoi akito nu emwogo kanu akoru.,train
8,Ejai enyanya lo edeka ecie musiri.,train
9,Eipone bani idumununa ijo nuikamunitos esokoni lo acok?,train
10,Ejaiki esiteseni lo eredio oni ewai lo igwelanaret idiasio wok.,train
11,Esipedo esimu loakan eong adumunun akiro nuikamunitos ekia lo emaroge.,train
12,Olap je epuda eong akiro nuka ematuda.,train
13,Akiro nu esokoni nuikamunitos etaget ekot ijaikinai akoriok.,train
14,Ekotosi akoriok akiro nuikamunitos ikampunin luejaas ka ikito ludidika lu enyanya.,train
15,Icie idukai lu epedorete akoriok adumakin ikee lueyaunete ebolia ka iboro lu ikoris.,train
16,Ainapeta nu oredio itolomunenete eipone lo idumunet akito nu emwogo kanu aira.,train
17,Ipu iponesio lu emwogo lu epedorete apolo ejok aiboisit kangin.,train
18,"Karai elingakisi akoriok adumun akiro nu abwangun na adeka, ingarakini kes akapanakin.",train
19,Epedorete akoriok aimedaun ejok kanejaas aicoreta nu itikitikere adeka.,train
20,"Kangin balasa, ijanakino akoriok aicoreta nuka akoru emwanyi.",train
21,Ekotosi akoriok aicoreta nuka etepe ka ekuse kanu aingarakin kes akapanakin ejok.,train
22,Ejaiki erionget akoriok aicoreta nu ikoris emwogo.,train
23,Ipu ainapeta nuka adumun abar kotoma akoru.,dev
24,Icorakitai nginitungan ko disitirikt ajaut keda amisiri.,train
25,"Icie iwaitin lu akoru: alanakin, aicap, aitikitik ikur ka adekasinei.",train
26,Ecamakitai akoriok aingitingit adis kere nuka akoru.,train
27,icorakitai akoriok akoru ikorion luegelegela lu epol eipuda.,train
28,Ejaas ikee luipu luegelegela lu itojokaritai aisik omaroge.,train
29,Ipu ajokusio nu akoru kanuka akoriok ludidika.,train
30,Akoru ikorion luegelegela nes ingarakini itunganan.,train
31,Idumunenei iso akiro nuikamunitos eipone lo ingadaet isakan koredion.,train
32,"Edumunenete kesi akiro nu, apak na ekoriere, akoru ikorion ejok ka iwaitin lu ingadaere.",dev
33,Nuikamunitos akoru imucugai ka idiasio ejokuka kanejaas akoriok.,train
34,Akiro nuikamunitos ekuse ka etepe ka aitemonokin amisirin kanu akoru.,train
35,Acie nu itatamio oredion itijenaritos nuka isokonin luajokak kanu isakan akoriok.,train
36,Akiro nu akoru nu elimonorio oredio ingarakit akoriok aijen apakio nu ekoriere.,train
37,"Edumunete akoriok acoa na ekoriere ikinyom luajokak, ka adekasinei nu eminas asuronokin ikorion kec.",train
38,Iriongeta icie ijanakinete akoriok akiro nu iboro kalu itwasamao ka ikinyom luegelegela koredio.,train
39,Anyamasi ikweny ekirididi kere omusiri aberu kangin.,train
40,Akiot nados na ido oreng okwap edeka.,train
41,Ejaas akiot keda imaria ludos ido icucukate okiding.,train
42,Aicucukate na akiot ijaikini aituk akiot aonere.,train
43,Acie akwi nu edekasi aokoto.,train
44,Acie akwii nudos kotoma oraasit kayen ekudukudo kosiep ediope.,train
