Key,Text,split
6,Ebee ka anyị pụrụ ịchọta ụdị ndị na-eguzogide ọgwụ ndị dị mma nke pụrụ ịba uru n'ahịa?,train
9,Olee otú i si enweta ozi ahịa maka poteto na ato uto?,train
99,Ịgbaghara ụgwọ ọ̀ pụrụ ime ka akụ̀ na ụba dịghachi ndụ?,train
126,Olee otú ndị nwe ụlọ ọrụ Uganda ga-esi rite uru site n'ụtụ isi dijitalụ?,train
132,Ndị ọchụnta ego Uganda kwesịrị iche echiche banyere mbupụ anụ ehi na South Sudan,train
145,Ì chere na a ga-akwụsị afọ agụmakwụkwọ a?,train
151,Gịnị mere ụfọdụ ụmụ agbọghọ nọ n'ụlọ akwụkwọ ji ahọrọ ime kama ịhapụ ime ha?,train
154,Olee uru ndị e ji aha ndị a họpụtara maka ịbụ ndị egwú na-aba?,train
171,Gịnị ka cholesterol pụtara?,train
195,Kedu ihe bụ ihe ịrịba ama na mgbaàmà nke coronavirus?,train
226,E meela ihe ndị a na-eme na ihe ndị a na-adịghị eme iji chịkwaa mgbasa nke coronavirus,train
270,"Ọ bụrụ na ahụ́ adịghị gị, gịnị ma ị nọrọ n'ụlọ?",train
310,Gịnị ka a na-eme iji nyere ndị nne dị ime nọ n'ogige ndị gbara ọsọ ndụ aka?,train
326,Olee ihe ndị na-eto eto na-ekwu mere  ha ji kwụsị ịga akwụkwọ?,train
345,Gịnị mere ụfọdụ ụmụaka anaghị aga nke ọma n'ụlọ akwụkwọ?,train
374,Ebee ka m pụrụ ịchọta ezigbo ngwá ụlọ?,train
414,Gịnị ga-esi na ya pụta ma a mara ya ikpe maka wayo?,train
421,Gịnị mere n'etiti ha?,train
426,Olee mgbe a ga-ekpebi ikpe ahụ?,train
438,Onye ọ bụla na-ebu ụgwọ ya mgbe ị na-edozi okwu ahụ na mkparịta ụka,train
477,A mara onye a na-enyo enyo ikpe maka ịnwa ịbịakwute onye isi ụlọomeiwu,train
494,"Biko, ị̀ pụrụ izu ike?",train
507,Ndị omeiwu bụ ndị isi na-emebi iwu,train
520,Gịnị mere o ji esiri anyị ike ịghọta ihe ụfọdụ?,train
531,Gịnị mere e ji kwesị inye onye ahịa a ahia n'aka?,train
560,Olee otú ị ga-esi akwụghachi ndị ahịa gị dinyere gi kamgbe?,train
571,Gịnị ka i nwere ikwu banyere nje ọhụrụ ahụ?,train
590,Ndụmọdụ ndị dọkịta na-enye dị oké mkpa maka ọdịmma anyị,train
616,Olee ụfọdụ nsogbu ndị na-eme ka ndị mmadụ na-enwe nsogbu n'ụzọ akụ̀ na ụba?,train
619,Gịnị ma i si n'ụlọ rụọ ọrụ kama ịga ọrụ?,train
622,Olee mgbe ị na-eme atụmatụ ịmalite azụmahịa?,train
647,Ì chetụla echiche banyere ịkpokota otu ọhụrụ?,train
650,Mmadụ ole ka ị were n'ọrụ?,train
680,Ọ̀ bụ iwu na-akwadoghị ịmalite azụmahịa na-enweghị akwụkwọ ikike?,train
752,A chọrọ ego ka ukwuu n'ọrụ ugbo,train
812,Afọ ole ka mmadụ kwesịrị ịkwụsị ịnọ n'alụghị di ma ọ bụ nwunye?,train
826,Olee ụlọ ọrụ na-amasị gị?,train
