Key,Text,split
1,Bbiringanya lubeerera  asinga kukulira mu mbeera ya bugumu,train
2,Ettaka ly'okulimirako n'okulundirako ebiseera ebimu kisoomooza abalimi,train
3,Abalimi balina okukubirizibwa okwongera okulima emmwanyi,train
4,Uganda essira eritadde ku bulimi.,train
5,Ebimera ebimu bifa olw'ebbula ly'omusana.,train
6,Tusobola kuggya wa ebika ebirungi ebigumira embeera yonna bya ttunzi nnyo?,train
7,Emiti gya muwogo lubeerera gyetaagibwa mu kusimba,train
8,Ennimiro erimu ennyaanya endwadde,train
9,Ofuna otya obubaka ku kataale ka lumonde?,train
10,Laadiyo etuwadde akadaala okutunda enva endiirwa zaffe,train
11,Essimu zinnyambyeko okufuna obubaka ku ddagala ly'ebijanjaalo,train
12,"Omwezi oguwedde, nayagala obubaka ku butunda",train
13,Obubaka ku katale k'amatooke bulina okuweebwa abalimi bonna,train
14,Abalimi beetaaga obubaka ku makampuni agalina ensigo y'ennyaanya ennungi,train
15,Amaduuka agamu abalimi gye basobola okufuna ebigimusa n'ebikozesebwa ebirungi mu kusimba,train
16,Pulogulaamu z'obulimi ku laadiyo ziwa obubaka ku ngeri y'okufunamu ebikozesebwa mu kusimba  muwogo.,train
17,Waliwo ebika bya muwogo eby'enjawulo ebisobola okudda mu kifo ekyo,train
18,"Abalimi bwe bamanyisibwa amangu ku kubalukawo kw'obulwadde, kibayambako okweteekateeka obulungi",train
19,Abalimi basobola okugasibwa ennyo okuva mu kuwabulwa ku kutangira obulwadde,train
20,"Buli Mande, abalimi bawabulwa ku nnima y'emmwanyi",train
21,Abalimi beetaaga amagezi ku mbeera y'obudde okubayambako okuteekateeka obulungi,train
22,Minisitule ewadde abalimi amagezi ku nsimba ya muwogo.,train
23,Waliwo pulogulaamu nnyingi ez'okweggya mu bwavu ezeetooloorera ku byobulimi n'obulunzi.,dev
24,Kikubirizibwa buli muntu mu disitulikiti okubeera n'ennimiro,train
25,"Ebimu ku bikolebwa eby'omugaso mu bulimi: okuwa amabanga, okukoola, n'okutangira ebiwuka n'obulwadde.",train
26,Abalimi baweebwa omwagaanya okubuuza ekibuuzo kyonna ekikwata ku byobulimi n'obulunzi.,train
27,Abalimi baweereddwa amagezi okulima ebika by'ebirime eby'enjawulo ebyetaagibwa ennyo.,train
28,Waliwo eddagala ery'enjawulo erisembebwa ng'okufuuyira ebijanjaalo.,train
29,Obulimi n'obulunzi burina emiganyulo mingi kubalimi balimira n'okulundira awafunda.,train
