Key,Text,split
1,Entonga buriijo zikurira omu mbeera y'obwire erikutagata,train
2,"Eitaka ry'okuhingamu, obumwe n'obumwe nirireetera abahingi oburemeezi.",train
3,Abahingi bashemereire kuhigwa bongyere okuhinga omwani .,train
4,Uganda eteire amaani aha buhingi n'oburiisa.,train
5,Ebihingwa ebimwe nibyoma ahabw'okubura omushana.,train
6,Nitubaasa kwiha nkahi embibo nungi erikugumira ebihikiirizi kandi eine akatare?,train
7,"Ebiti bya muhogo eby'okubyara, butoosha nibyetengwa.",train
8,Omusiri gurimu enyaanya eziine oburwaire.,train
9,Nootunga ota amakuru agarikukwata aha katare k'ebitakuri?,train
10,Reediyo etubaasiise kuraanga emboga zaitu kandi tukaziguza.,train
11,Esimu z'omungaro zimpwereire okutunga amakuru agarikukwata aha mubazi gw'obukooko omu bihimba.,train
12,"Okwezi okuhweire, nkaba ninyetenga amakuru agarikukwata aha butunda.",train
13,"Amakuru agarikukwata aha katare k'ebitookye, gashemereire kuhika abahingi boona.",train
14,Abahingi bashemereire kumanya kampuni ezirikuguza embibo nungi y'enyanya.,train
15,Amaduuka agamwe ahu abahingi barikubaasa kutunga orwezo n'embibo nungi.,train
16,"Puroguraamu z'obuhingi n'oburiisa aha reediyo, nizimanyisa abantu emyanya y'okwihamu embibo.",train
17,Hariho emiringo y'embibo ya muhogo nyingi erikubaasa kwera omu mwanya ogwo.,train
18,Abahingi ku barikutunga amakuru agarikukwata aha kubarukaho kw'endwara nikibahwera  kwetebekanisa gye.,train
19,Abahingi nibagasirwa kihango baahaburwa oku barikubaasa kuzibira endwara,train
20,"Buri rw'Okubanza, abahingi nibatunga obuhabuzi aha ku barikubaasa kuhinga omwani.",train
21,Abahingi nibetaaga okuhaburwa aha by'obwire babaase kukora kwetebeekanisa gye.,train
22,Minisiture ehereize abahingi obuhabuzi oburikukwata aha kuhinga muhogo.,train
23,Hariho puroguraamu nyingi z'okureetaho obugaiga omu by'obuhingi n'oburiisa,dev
24,Buri muntu omu Disiturikiti naahaburwa kugira omusiri.,train
25,"Bimwe aha birikuhwera omu by'obuhingi n'oburiisa: Okuha ebihingwa emyanya, okwombera, okurwanisa obukooko n'endwara.",train
26,"Abahingi nibahebwa omwanya , okubuuza byona ebirikukwata aha buhingi n'oburiisa.",train
27,Abahingi nibahaburwa kuhinga ebihingwa ebiine akatare.,train
28,Hariho emibazi y'obukooko mingi eikiriziibwe omu kufuuhirira ebihimba.,train
29,Obuhingi n'oburiisa bwine emigasho mingi aha bantu omu maka gaabo.,train
30,"Okuhinga ebihingwa by'embibo z'emiringo mingi, nikiija kuhwera omuntu ogwo.",train
31,Nitutunga obuhabuzi kuruga aha reediyo oburikukwata aha kuhunika amasharuura gaitu.,train
32,"Nibatunga amakuru agarikukwata, aha bwire bw'okubyara, emihingire mirungi hamwe n 'omuringo gw'okutwazamu amasharuura.",dev
33,"Okumanyisibwa oku bashemereire kuhinga ebijuma n'emboga, n'eky'omugasho aha bahingi.",train
34,Okumanyisibwa empindahinduka y'obwire n'okutebeekanisa entabire y'okubyaramu.,train
35,Bimwe ebirikugambwa aha reediyo nibihwera abantu kumanya obutare burungi bw'amasharuura gaabo.,train
36,Puroguraamu z'eby'obuhingi aha reediyo nizihwera abahingi kumanya obwire obu bashemereire  kuhinga.,train
37,Abahingi nibahaburwa okuhinga embibo nungi n'okumanya endwara ezirikuteganisa ebihingwa byabo.,train
38,Ebitongore ebimwe nibimanyisa abantu ebibashemereire kukozesa omu buhingi barikwejunisa reediyo.,train
39,Enyonyi ziriire ebicoori byona omu musiri gw'omukazi ogwo.,train
40,"Eibabi rya kinekye eriine erangi ya kakobe ahansi, rirwaire.",train
41,Eibabi riine emisitaari ya kinekye n'omukyerebo ahagati.,train
42,Omukyerebo gw'amababi g'ebicoori nigureetera akatwe k'eibabi kwoma.,train
43,"Amababi gamwe agarwaire, goomire",train
44,"Amababi gamwe agiine erangi ya kinekye aha kimera eki, gefunyikire aharubaju rumwe.",train
45,"Kamwe aha bubonero bw'endwara y'omukyerebo gw'amababi, amababi nigahinduka kinekye.",train
46,Eibabi ry'ekicoori ni rya kinekye kwonka erangi neehinduka kitaka aha ntangiro y'eibabi,test
47,"Ebitobo aha mababi, tikari kabonero karungi aha kimera.",train
48,Akatwe k'ekicoori kariirwe embuzi ezirikuzengyerera.,train
49,Emishwa ehindukire ekizibu omu musiri ogu.,dev
50,"Okwombera n'enkora nungi omu buhingi, buri omwe ei ashemereire kwejunisa.",train
51,"Omugusha nimurungi kandi nigureebeka gye, nigwija kutuha amasharuura marungi.",train
52,Ninteekateeka ngu ekimera eki kiine oburwaire ahabw'okuba amababi gaakyo goona ni ga kinekye.,train
53,Nitubaasa kwija kuburwa ekitwasharuura kuruga omu kimera eki.,train
54,Ebimera by'ebinyobwa ebimwe biriirwe emishwa.,train
55,"Ebitobo bya kitaka ahagati, bisiisire amababi.",train
56,"Amababi agasisikaire, nikibaasa kuba kirugire aha mbeera y'obwire",train
57,Amatungo agarikuzengyerera omu musiri gasiisire ebihingwa byona.,train
58,Amababi agasisikaire gatandikire kwoma ahabwokuba gashwekirwe omwata.,train
59,"Ebitookye okuteera gye, kireesirwe omukyerebo gw'amababi g'ebicoori.",train
60,"Okuguna kw'emitumba, kireesirwe omwata omu musiri",train
61,"Ekimera eki ekisisikaire, nikibaasa kuba kyariirwe ekakooko.",train
62,Omusiri gushemereire kwomberwa ahabw'okuba gushwekirwe ekishaka.,train
63,Akatwe k'ekimeera kariirwe ekishorobwa.,train
64,"Omusiri gw'ebicoori gukanzire, amababi gahindwire erangi.",train
65,Ekimera ky'emondi kiine emisitaari ya kinekye n'ebitobo bya kitaka aha mababi.,train
66,Ekimera eki kiine amababi ga kinekye n'ebitobo bya kitaka ahagati y'obutsi,train
67,Amababi g'enyaanya nigakinekye kandi goomire.,train
68,Amababi garimu obufumuka ahabw'obukooko.,train
69,Obutonatone oburikwera aha mababi g'ebucoori nibukira kureetwa obukooko.,train
70,Amababi g'ebicoori gariirwe kanyogombwa,test
71,Obutonatone oburikwera aha mababi g'ebicoori gareetsirwe obukooko,train
72,Amababi ga muhogo gaine emisitaari ya kinekye ahantangiro.,train
73,"Okumanya ngu ekimera ky'omucugwa kirwaire, obutwe bw'amababi nibuhinduka kinekye.",train
74,Amababi g'ebicoori gaijwire obufumuka ahabw'okutaahirirwa obukooko.,train
75,Omuhingi omukyaro kya Bukujju akatworeka bimwe aha bimera ebyabaire birwaire omu musiri gwe.,train
76,Omu disiturikiti ya Kayunga emisiri erikukira obwngi ekashangwa erimu ebicoori ebiine oburwaire.,train
77,Omumwanya ogu harimu ebihingwa bingi byebihimba ebirwaire.,train
78,Erangi ya kitaka ahamababi g'omwani ekarugirira ahandwara y'omukyerebo.,train
79,Kanyagobwa eriyo neerya amababi g'ebicoori.,train
80,Omwata omumusiri nigareetera amababi g'ebicoori kuhinduka kinekye.,train
81,Ekimera ky'ekicoori eki kiine omukyerebo ahabw'oburwaire,train
82,Obuhango bwenjuma z'ekicoori eki tibwabutoosha.,train
83,Endwara y'ebicoori niereetera omusitaari gwahagati y'eibabi okuhinduka kinekye.,train
84,Embuzi ziriire ebicoori omu musiri.,train
85,Kamwe aha bubonero bw'ekimera ekiine oburwaire bwa oburikukwata ebicoori n'okukyereba amababi.,train
86,Eibabi ry'ekicoori ririirwe kanyogombwa.,train
87,Ekimera eki kisisirwe endwara y'ebicoori ahabw'okuba erangi y'eibabi ehindukire rusaano.,train
88,Ebicoori bisisirwe akakooko akarikwetwa akashorobwa.,train
89,Amababi g'ekimera gasisirwe endwara.,dev
90,Abantu abaine eitaka rikye nibabaasa kwejumba omu buhingi babaase kwebaisaho.,train
91,Gavumenti neehiga abantu ngu bakozese embibo nungi babaase kushaarura bingi.,train
92,Abahingi tibaine katare k'ebicoori.,train
93,Noobaasa kukanyisa amasharuura gaawe omu miringo egi.,train
94,Okuriisa enjoki nikurugwamu eby'okurya n'entaasya.,train
95,Akatare k'obume kagyenzire nikeeyongyera omu biro ebi.,train
96,Abahingi b'omu Uganda nibatunga oburemeezi bwingi obukwatiraine n'endwara z'ebihingwa hamwe n'obwire.,train
97,"Omukugu omu by'obuhingi, oburiisa n'eby'endiisa niwe yaasingire omu kutunga ebiconco by'eby'okurya.",train
98,Okukyerererwa kufuuhirira nikyo kirikutokooza ebyokurya ebitwine ebiro ebi.,train
99,Okushazamu amabanja nikibaasa kutunguura eby'entaasya?,train
100,Yegyendesereze omuringo ogu orikushohozamu esente zaawe.,train
